Canton,Area,Population,Date of Law,English Name,Luxembourgish Name,Wiki Link,Latitude,Longitude
Diekirch,12.42,6896,24 February 1843,Diekirch,Dikrech,/wiki/Diekirch,49.8681°N,6.1567°E
Esch-sur-Alzette,22.18,24805,4 August 1907,Differdange,Déifferdeng,/wiki/Differdange,49.5222°N,5.8917°E
Esch-sur-Alzette,21.38,20003,4 August 1907,Dudelange,Diddeleng,/wiki/Dudelange,49.4833°N,6.0833°E
Echternach,20.49,5249,24 February 1843,Echternach,Iechternach,/wiki/Echternach,49.8116667°N,6.4216667°E
Esch-sur-Alzette,14.35,33939,29 May 1906,Esch-sur-Alzette,Esch-Uelzecht,/wiki/Esch-sur-Alzette,49.4969°N,5.9806°E
Diekirch,15.18,8544,4 August 1907,Ettelbruck,Ettelbréck,/wiki/Ettelbruck,49.8464°N,6.0992°E
Grevenmacher,16.48,4794,24 February 1843,Grevenmacher,Gréiwemaacher,/wiki/Grevenmacher,49.6806°N,6.4417°E
Luxembourg,51.46,115227,24 February 1843,Luxembourg City,Lëtzebuerg,/wiki/Luxembourg_City,49.61167°N,6.13194°E
Remich,5.29,3482,24 February 1843,Remich,Réimech,/wiki/Remich,49.5444°N,6.3667°E
Esch-sur-Alzette,6.83,5422,4 August 1907,Rumelange,Rëmeleng,/wiki/Rumelange,49.4597°N,6.0306°E
Vianden,9.67,1918,24 February 1843,Vianden,Veianen,/wiki/Vianden,49.933611°N,6.2075°E
Wiltz,19.37,6522,24 February 1843,Wiltz,Wolz,/wiki/Wiltz,49.9667°N,5.9333°E
